case_id,dice,iou,precision,recall,tp,fp,fn,pred_area,ref_area,pred_components,ref_components
0244128,0.9616977580010269,0.9262214017274346,0.9711046592008848,0.9524713539901011,14048,418,701,14466,14749,6,6
0252129,0.9685414003692657,0.9390017211703958,0.982990990990991,0.9545104625936035,13639,236,650,13875,14289,6,6
0257129,0.9598945100183321,0.9228818800247371,0.9647659684509956,0.955072,14923,545,702,15468,15625,6,6
0265129,0.9640012254901961,0.9305042141061659,0.9871372549019608,0.9419248615476725,12586,164,776,12750,13362,6,6
0267129,0.9658755896226415,0.93400327845485,0.9723252708116932,0.9595109093571533,13105,373,553,13478,13658,6,6
0269129,0.9700259429255638,0.9417964814384252,0.9875660300690776,0.9530980392156863,12152,153,598,12305,12750,6,6
0284130,0.9726767971946231,0.9468069975821363,0.9776048168000587,0.9677982118194374,13314,305,443,13619,13757,6,6
0289130,0.9569766591058755,0.9175026306559102,0.9675963601390841,0.9465875370919882,13079,438,738,13517,13817,6,6
0294130,0.9713705278206237,0.9443347231365664,0.9888174019607843,0.9545286506469501,12910,146,615,13056,13525,6,6
0295130,0.964133219470538,0.9307502061005771,0.9703480876665235,0.9579974543911752,11290,345,495,11635,11785,6,6
0297130,0.9643214114988484,0.931101040617657,0.9703515829980759,0.9583657251446834,11095,339,482,11434,11577,6,6
0298130,0.9628405610188618,0.9283438252895003,0.9799015586546349,0.9463634923150055,11945,245,677,12190,12622,6,6
0306131,0.9722839149350452,0.9460627590290113,0.978445900434756,0.9661990567178619,15979,352,559,16331,16538,6,6
0310131,0.958045299608168,0.9194692429986547,0.9933280486193685,0.925183043130499,15037,101,1216,15138,16253,6,6
0321133,0.965249145953587,0.932832422586521,0.9718510318652644,0.9587363494539781,12291,356,529,12647,12820,6,6
0332133,0.9646801381338257,0.9317701453104359,0.975452911077306,0.9541427122083193,14107,355,678,14462,14785,6,6
0338133,0.9658317451674381,0.9339212847176517,0.9824148435336472,0.9497991967871486,7095,127,375,7222,7470,6,6
